id,timestamp,source,rating,feedback_text
1440,2024-01-01,app_store_review,2.0,app stuck on loading screen for 5 minutes then closed  my biryani order in mumbai
2164,2024-01-01,app_store_review,,app stuck on loading screen for 5 minutes then closed this is the second time
1621,2024-01-01,survey_comment,3.0,i was charged twice for the same order please refund the extra amount  my fruits order in pune
1484,2024-01-01,app_store_review,3.0,items were missing from my delivery got only half the order
2682,2024-01-01,survey_comment,1.0,app bahut acchi hai bahut fast hai
2030,2024-01-01,survey_comment,2.0,payment failed but money got deducted from my account agent neha was handling it
1572,2024-01-01,app_store_review,1.0,the invoice amount does not match what the app showed me agent priya was handling it
1823,2024-01-01,support_ticket,1.0,my refund still hasnt come after 10 days this is ridiculous  my burger order in hyderabad
1682,2024-01-01,app_store_review,1.0,items were missing from my delivery got only half the order
2658,2024-01-01,app_store_review,1.0,aaaaaaaaaaaaaaa
2491,2024-01-01,survey_comment,1.0,driver could not find my building and just cancelled
1819,2024-01-01,survey_comment,,search bar shows no results even for items that exist
2499,2024-01-01,survey_comment,5.0,super easy to use and quick checkout well done team
1845,2024-01-02,survey_comment,2.0,nobody from support replied to my three emails  my biryani order in chennai
1577,2024-01-02,support_ticket,1.0,chat support gave me copy paste answers that did not help
2363,2024-01-02,app_store_review,,super easy to use and quick checkout well done team agent vikram was handling it
1702,2024-01-02,support_ticket,2.0,delivery person was rude and threw the bag on the floor  my biryani order in mumbai
1478,2024-01-02,survey_comment,1.0,notifications stopped working after the update this is the fourth time
1072,2024-01-02,app_store_review,1.0,payment failed but money got deducted from my account this is the third time
2419,2024-01-02,app_store_review,5.0,best delivery service in my city never had an issue
1375,2024-01-02,app_store_review,2.0,app stuck on loading screen for 5 minutes then closed
1626,2024-01-02,app_store_review,3.0,items were missing from my delivery got only half the order  my milk order in chennai
1018,2024-01-02,support_ticket,3.0,customer care kept me on hold for 40 minutes then disconnected this is the first time
2279,2024-01-02,survey_comment,5.0,five stars the app is fantastic and reliable this is the second time
1140,2024-01-03,app_store_review,1.0,why is there a service fee i never agreed to on my bill
1766,2024-01-03,app_store_review,1.0,search bar shows no results even for items that exist
2360,2024-01-03,app_store_review,3.0,coupon save50 did not apply at checkout and i paid full price
2008,2024-01-03,app_store_review,1.0,the suppooort agent was very helpful and solved my issue quickly this is the second time
2305,2024-01-03,app_store_review,3.0,my refund still hasnt cooome after 10 days this is ridiculous
1112,2024-01-03,support_ticket,1.0,delivery person was rude and threw the bag on the floor  my biryani order in chennai
1025,2024-01-03,app_store_review,2.0,double deduction on my card for order need this reversed asap this is the second time
1460,2024-01-03,support_ticket,3.0,the new version drains my battery so fast this is the first time
2273,2024-01-03,survey_comment,1.0,customer care kept me on hold for 40 minutes then disconnected
1014,2024-01-03,app_store_review,2.0,package was left at the wrong door i never received it
1406,2024-01-04,survey_comment,2.0,payment failed but money got deducted from my account this is the fourth time
1361,2024-01-04,app_store_review,,super easy to use and quick checkout well done team  my sushi order in chennai
1776,2024-01-04,app_store_review,5.0,five stars the app is fantastic and reliable this is the first time
2142,2024-01-04,survey_comment,1.0,coupon save50 did not apply at checkout and i paid full price agent rahul was handling it
1901,2024-01-04,support_ticket,2.0,package was left at the wrong door i never received it
2100,2024-01-04,app_store_review,2.0,the support agent was very helpful and solved my issue quickly agent sana was handling it
2274,2024-01-04,support_ticket,5.0,super easy to use and quick checkout well done team
1284,2024-01-04,support_ticket,2.0,payment failed but money got deducted from my account
2355,2024-01-05,support_ticket,2.0,items were missing from my delivery got only half the order this is the second time
1861,2024-01-05,support_ticket,3.0,chat support gave me copy paste answers that did not help
2027,2024-01-05,survey_comment,1.0,the support agent was very helpful and solved my issue quickly  my fruits order in mumbai
2335,2024-01-05,survey_comment,2.0,the store staff was friendly when i picked up my order
2006,2024-01-05,app_store_review,1.0,i was charged twice for the same order please refund the extra amount agent anil was handling it
1163,2024-01-05,survey_comment,2.0,the map screen freezes and i cannot place an order this is the second time
2497,2024-01-05,support_ticket,2.0,driver could not find my building and just cancelled  my groceries order in bangalore
1095,2024-01-05,support_ticket,3.0,i was charged twice for the same order please refund the extra amount  my sushi order in pune
1692,2024-01-05,survey_comment,2.0,nobody from support replied to my three emails  my thali order in kolkata
2047,2024-01-06,support_ticket,3.0,app stuck on loading screen for 5 minutes then closed
1052,2024-01-06,app_store_review,1.0,the store staff was friendly when i picked up my order
1784,2024-01-06,support_ticket,1.0,login button does nothing on the latest update
1800,2024-01-06,app_store_review,,food was spilled all over the bag when it reached me
1322,2024-01-06,support_ticket,4.0,love this app ordering is so smooth and fast  my thali order in mumbai
1677,2024-01-06,survey_comment,,items were missing frooom my delivery got only half the order
2605,2024-01-06,survey_comment,,do you have any job openings for delivery partners in pune
1732,2024-01-06,support_ticket,,the new version drains my battery so fast agent priya was handling it
1814,2024-01-06,survey_comment,2.0,driver could not find my building and just cancelled  my pizza order in pune
1882,2024-01-06,support_ticket,1.0,notifications stopped working after the update agent meera was handling it
2632,2024-01-06,survey_comment,3.0,test test test ignore
1136,2024-01-06,survey_comment,2.0,my order arrived almost an hour late and the food was cold agent anil was handling it
1449,2024-01-06,support_ticket,,best delivery service in my city never had an issue
1402,2024-01-06,support_ticket,2.0,the new version drains my battery so fast
1765,2024-01-06,survey_comment,,noootifications stopped working after the update
1135,2024-01-07,support_ticket,1.0,order marked delivered but nothing arrived at my place  my burger order in bangalore
1941,2024-01-07,app_store_review,5.0,best delivery service in my city never had an issue  my biryani order in delhi
1938,2024-01-07,app_store_review,2.0,food was spilled all over the bag when it reached me
1387,2024-01-07,survey_comment,,items were missing from my delivery got only half the order
1977,2024-01-07,support_ticket,1.0,customer care kept me on hold for 40 minutes then disconnected agent rahul was handling it
2411,2024-01-07,app_store_review,1.0,thank you to the agent priya who handled my complaint so well  my fruits order in bangalore
2410,2024-01-07,support_ticket,1.0,food was spilled all over the bag when it reached me
1191,2024-01-08,app_store_review,5.0,great experience overall food always fresh agent sana was handling it
1972,2024-01-08,survey_comment,,best delivery service in my city never had an issue
1619,2024-01-08,app_store_review,1.0,order marked delivered but nothing arrived at my place
1984,2024-01-08,support_ticket,1.0,nobody from support replied to my three emails  my pizza order in chennai
2334,2024-01-08,support_ticket,5.0,best delivery service in my city never had an issue  my groceries order in kolkata
1378,2024-01-08,support_ticket,2.0,thank you to the agent priya who handled my complaint so well
2127,2024-01-08,support_ticket,3.0,login button does nothing on the latest update
1911,2024-01-08,support_ticket,,best delivery service in my city never had an issue
1879,2024-01-08,support_ticket,5.0,five stars the app is fantastic and reliable
1795,2024-01-09,survey_comment,3.0,the new version drains my battery so fast
1036,2024-01-09,survey_comment,,search bar shooows no results even for items that exist
1311,2024-01-09,survey_comment,1.0,food was spilled all over the bag when it reached me  my sushi order in pune
2387,2024-01-09,support_ticket,1.0,cannot add address the save button is greyed out this is the second time
2433,2024-01-10,survey_comment,3.0,the store staff was friendly when i picked up my order this is the fourth time
1120,2024-01-10,app_store_review,2.0,the support agent was very helpful and solved my issue quickly
2327,2024-01-10,app_store_review,2.0,chat support gave me copy paste answers that did not help agent meera was handling it
1485,2024-01-10,survey_comment,3.0,items were missing from my delivery got only half the order
1809,2024-01-10,support_ticket,1.0,search bar shows no results even for items that exist
1686,2024-01-10,support_ticket,1.0,driver could not find my building and just cancelled
2383,2024-01-10,app_store_review,,customer care kept me on hold for 40 minutes then disconnected  my milk order in mumbai
1247,2024-01-10,support_ticket,5.0,super easy to use and quick checkout well done team
2359,2024-01-10,support_ticket,1.0,my refund still hasnt come after 10 days this is ridiculous agent sana was handling it
1751,2024-01-10,app_store_review,,driver cooould not find my building and just cancelled
1265,2024-01-10,survey_comment,3.0,delivery person was rude and threw the bag on the floor agent priya was handling it
1416,2024-01-10,survey_comment,2.0,my order arrived almost an hour late and the food was cold
1997,2024-01-10,support_ticket,1.0,package was left at the wrong door i never received it
2204,2024-01-10,app_store_review,3.0,it is okay nothing special
1750,2024-01-11,survey_comment,2.0,the new version drains my battery so fast this is the third time
1570,2024-01-11,support_ticket,5.0,super easy to use and quick checkout well done team  my thali order in bangalore
1211,2024-01-11,app_store_review,2.0,coupon save50 did not apply at checkout and i paid full price this is the fourth time
1278,2024-01-11,support_ticket,,double deduction on my card for order need this reversed asap
2291,2024-01-11,support_ticket,1.0,my refund still hasnt come after 10 days this is ridiculous
1673,2024-01-11,survey_comment,1.0,got charged for a subscription i cancelled last month agent neha was handling it
1965,2024-01-11,support_ticket,3.0,got charged for a subscription i cancelled last month
1189,2024-01-11,app_store_review,1.0,driver could not find my building and just cancelled  my groceries order in mumbai
1141,2024-01-11,support_ticket,1.0,got charged for a subscription i cancelled last month
2240,2024-01-11,survey_comment,2.0,cannot add address the save button is greyed out  my sushi order in bangalore
1637,2024-01-11,app_store_review,,coupon save50 did not apply at checkout and i paid full price  my thali order in delhi
2428,2024-01-11,support_ticket,2.0,thank you to the agent priya who handled my complaint so well  my burger order in bangalore
1521,2024-01-11,app_store_review,2.0,delivery person was rude and threw the bag on the floor
1764,2024-01-12,app_store_review,1.0,food was spilled all over the bag when it reached me
1098,2024-01-12,survey_comment,3.0,the map screen freezes and i cannot place an order  my fruits order in delhi
1028,2024-01-12,app_store_review,2.0,driver could not find my building and just cancelled
2155,2024-01-12,survey_comment,1.0,search bar shows no results even for items that exist
1319,2024-01-12,app_store_review,,order marked delivered but nothing arrived at my place agent priya was handling it
1744,2024-01-12,survey_comment,3.0,package was left at the wrong door i never received it agent sana was handling it
2032,2024-01-12,support_ticket,,double deduction on my card for order need this reversed asap
2437,2024-01-12,app_store_review,2.0,cannot add address the save button is greyed out agent vikram was handling it
1410,2024-01-12,app_store_review,1.0,my order arrived almost an hour late and the food was cold  my burger order in chennai
1396,2024-01-12,support_ticket,1.0,nobody from support replied to my three emails agent anil was handling it
1801,2024-01-12,app_store_review,2.0,search bar shows no results even for items that exist
1477,2024-01-12,app_store_review,5.0,five stars the app is fantastic and reliable
2225,2024-01-13,support_ticket,5.0,best delivery service in my city never had an issue
1909,2024-01-13,survey_comment,2.0,waited two hours and the order was finally cancelled by the app this is the fourth time
1318,2024-01-13,support_ticket,,cannot add address the save button is greyed out this is the fourth time
2280,2024-01-13,survey_comment,4.0,great experience overall food always fresh  my biryani order in pune
1374,2024-01-13,support_ticket,1.0,driver could not find my building and just cancelled
2284,2024-01-13,app_store_review,5.0,best delivery service in my city never had an issue
1902,2024-01-13,survey_comment,1.0,food was spilled all over the bag when it reached me
1869,2024-01-13,app_store_review,2.0,app stuck on loading screen for 5 minutes then closed
1471,2024-01-13,app_store_review,2.0,the map screen freezes and i cannot place an order this is the third time
2288,2024-01-14,app_store_review,2.0,notifications stopped working after the update this is the second time
2439,2024-01-14,support_ticket,,login button does nothing on the latest update
1719,2024-01-14,app_store_review,1.0,items were missing from my delivery got only half the order agent neha was handling it
2251,2024-01-14,support_ticket,2.0,cannot add address the save button is greyed out  my fruits order in bangalore
2471,2024-01-14,support_ticket,1.0,the store staff was friendly when i picked up my order
2466,2024-01-14,survey_comment,5.0,super easy to use and quick checkout well done team
2134,2024-01-14,survey_comment,1.0,waited two hours and the order was finally cancelled by the app
1079,2024-01-14,app_store_review,2.0,payment failed but money got deducted from my account agent sana was handling it
2404,2024-01-14,survey_comment,1.0,my refund still hasnt come after 10 days this is ridiculous this is the second time
2434,2024-01-14,support_ticket,1.0,waited two hours and the order was finally cancelled by the app  my fruits order in bangalore
1974,2024-01-15,survey_comment,2.0,thank you to the agent priya who handled my complaint so well
1045,2024-01-15,app_store_review,1.0,cannot add address the save button is greyed out
1173,2024-01-15,app_store_review,2.0,i was charged twice for the same order please refund the extra amount
2339,2024-01-15,support_ticket,5.0,great experience overall food always fresh  my milk order in bangalore
2790,2024-01-15,survey_comment,,cannot add address the save button is greyed out  my thali order in kolkata
1073,2024-01-15,survey_comment,1.0,coupon save50 did not apply at checkout and i paid full price agent sana was handling it
2421,2024-01-15,survey_comment,2.0,app keeps crashing every time i open the cart
2425,2024-01-15,app_store_review,5.0,five stars the app is fantastic and reliable
2157,2024-01-15,support_ticket,1.0,my refund still hasnt cooome after 10 days this is ridiculous
1598,2024-01-15,support_ticket,,delivery person was rude and threw the bag on the floor agent priya was handling it
1933,2024-01-15,survey_comment,,waited two hours and the order was finally cancelled by the app
2438,2024-01-15,survey_comment,,cannot add address the save button is greyed out  my thali order in kolkata
1152,2024-01-15,survey_comment,,coupon save50 did not apply at checkout and i paid full price  my thali order in mumbai
2796,2024-01-16,support_ticket,1.0,the new version drains my battery so fast
2275,2024-01-16,support_ticket,1.0,waited two hours and the order was finally cancelled by the app
1100,2024-01-16,app_store_review,,the new version drains my battery so fast
1537,2024-01-16,app_store_review,2.0,the new version drains my battery so fast  my thali order in delhi
1991,2024-01-16,support_ticket,2.0,got charged for a subscription i cancelled last month  my milk order in delhi
1309,2024-01-16,survey_comment,2.0,i was charged twice for the same order please refund the extra amount  my fruits order in kolkata
1053,2024-01-16,support_ticket,1.0,the new version drains my battery so fast
1910,2024-01-16,app_store_review,2.0,got charged for a subscription i cancelled last month
1877,2024-01-16,survey_comment,,notifications stopped working after the update  my pizza order in hyderabad
1128,2024-01-17,support_ticket,,delivery person was rude and threw the bag on the floor
2067,2024-01-17,survey_comment,1.0,my order arrived almost an hour late and the food was cold  my fruits order in delhi
1950,2024-01-17,survey_comment,5.0,five stars the app is fantastic and reliable  my thali order in chennai
1376,2024-01-17,support_ticket,5.0,five stars the app is fantastic and reliable  my milk order in delhi
2111,2024-01-17,support_ticket,5.0,great experience overall food always fresh
1476,2024-01-17,app_store_review,3.0,package was left at the wrong door i never received it  my burger order in delhi
1528,2024-01-17,app_store_review,2.0,items were missing from my delivery got only half the order
1707,2024-01-17,app_store_review,5.0,love this app ordering is so smooth and fast
1715,2024-01-17,app_store_review,1.0,coupon save50 did not apply at checkout and i paid full price
1365,2024-01-17,support_ticket,1.0,my order arrived almost an hour late and the food was cold this is the fourth time
1213,2024-01-17,support_ticket,1.0,double deduction on my card for order need this reversed asap
1495,2024-01-17,support_ticket,4.0,super easy to use and quick checkout well done team agent neha was handling it
1441,2024-01-18,survey_comment,3.0,delivery person was rude and threw the bag on the floor this is the second time
1032,2024-01-18,app_store_review,5.0,five stars the app is fantastic and reliable
1382,2024-01-18,app_store_review,,order marked delivered but nothing arrived at my place
1002,2024-01-18,support_ticket,1.0,my order arrived almost an hour late and the food was cold
2405,2024-01-18,survey_comment,5.0,love this app ordering is so smooth and fast agent sana was handling it
1952,2024-01-18,app_store_review,3.0,i was charged twice for the same order please refund the extra amount this is the second time
2256,2024-01-18,support_ticket,1.0,driver could not find my building and just cancelled this is the first time
1504,2024-01-18,survey_comment,3.0,my order arrived almost an hour late and the food was cold
2710,2024-01-18,app_store_review,5.0,order marked delivered but nothing arrived at my place
1380,2024-01-18,survey_comment,2.0,the map screen freezes and i cannot place an order
1891,2024-01-18,app_store_review,4.0,great experience overall food always fresh agent rahul was handling it
1407,2024-01-18,app_store_review,2.0,driver could not find my building and just cancelled
1600,2024-01-18,app_store_review,1.0,app keeps crashing every time i open the cart agent vikram was handling it
1074,2024-01-19,support_ticket,2.0,app stuck on loading screen for 5 minutes then closed
2481,2024-01-19,support_ticket,,the map screen freezes and i cannot place an order agent neha was handling it
2370,2024-01-19,support_ticket,2.0,driver could not find my building and just cancelled
2308,2024-01-19,support_ticket,2.0,app keeps crashing every time i open the cart
2033,2024-01-19,support_ticket,2.0,app keeps crashing every time i open the cart
1954,2024-01-19,support_ticket,3.0,chat support gave me copy paste answers that did not help
2234,2024-01-19,survey_comment,1.0,nobody from support replied to my three emails
2303,2024-01-19,survey_comment,5.0,love this app ordering is so smooth and fast
1260,2024-01-19,support_ticket,2.0,the store staff was friendly when i picked up my order
2713,2024-01-19,app_store_review,5.0,coupon save50 did not apply at checkout and i paid full price
2444,2024-01-19,app_store_review,2.0,the support agent was very helpful and solved my issue quickly  my thali order in hyderabad
1404,2024-01-20,survey_comment,1.0,cannot add address the save button is greyed out
1434,2024-01-20,app_store_review,3.0,chat support gave me copy paste answers that did not help  my thali order in pune
2431,2024-01-20,app_store_review,1.0,app stuck on loading screen for 5 minutes then closed  my pizza order in delhi
1897,2024-01-20,support_ticket,3.0,app stuck on loading screen for 5 minutes then closed
1057,2024-01-20,survey_comment,3.0,the store staff was friendly when i picked up my order
2461,2024-01-20,app_store_review,2.0,the map screen freezes and i cannot place an order
1107,2024-01-20,app_store_review,2.0,order marked delivered but nothing arrived at my place this is the first time
1898,2024-01-20,support_ticket,1.0,food was spilled all over the bag when it reached me
2114,2024-01-21,survey_comment,2.0,my refund still hasnt cooome after 10 days this is ridiculous
1806,2024-01-21,support_ticket,,double deduction on my card for order need this reversed asap agent vikram was handling it
2797,2024-01-21,app_store_review,,great experience overall food always fresh
2153,2024-01-21,survey_comment,1.0,why is there a service fee i never agreed to on my bill  my pizza order in delhi
2034,2024-01-21,app_store_review,2.0,why is there a service fee i never agreed to on my bill  my fruits order in pune
1980,2024-01-21,survey_comment,2.0,the invoice amount does not match what the app showed me
1164,2024-01-21,app_store_review,,i was charged twice for the same order please refund the extra amount
